number,title,country
46793,OOYALA-AS - Ooyala Inc.,US
46792,PLWC-PARAGOULD - The Light Plant Commission of the City of Paragould,US
46791,"LIVEVOL-AS - Livevol, Inc.",US
46790,PHS-WA - Providence Health & Services,US
21619,GREYWOLF-CAPITAL - Greywolf Capital Management LP,US
21618,DISCUSNET - Philips Electronics North America Corporation,US
46795,AG-PARTNERS-LLC - AG PARTNERS LLC,US
46794,"RESTAURDANTDOTCOM-AS1 - RESTAURANT.COM, INC.",US
21615,CEBRIDGE - Cebridge Connections,US
21614,LatLink.net S.A,CL
21617,NARA - National Archives and Records Administration,US
21616,"NECA - National Exchange Carrier Association, Inc.",US
21611,NET-WSGWIN - Wilson Sporting Goods Co.,US
21610,SAP-CA-VC - SAP America Inc.,US
21613,-Reserved AS-,ZZ
21612,FUNDACAO INSTITUTO OSWALDO CRUZ,BR
54541,-Reserved AS-,ZZ
58925,WIIPL-IN Way2online Interactive India Pvt Ltd,IN
5982,DNIC-ASBLK-05800-06055 - DoD Network Information Center,US
55578,"CGI-INDIA-IN Tower 2, #95/1 & 95/2",IN
395049,PROXIMUS-1 - Proximus Information Technology,CA
45448,MGPENGUIN-AS-AP mgpenguin AS Network Operations Provider Melbourne,AU
45449,ACCENTMICRO-AS-AP Accent Micro Technologies Inc AS (ETPI Client),PH
45446,MYSOL-PK My Solutions Corporation Ltd.,PK
45447,YLESS4U-AS-AP YLess4U Regional Broadband,AU
45444,SEMPERNET-AS-AU Sempernet subsidiary of Coherent Cloud,AU
45445,"GM-AP-GMKOREA General Motors Korea, Bupyeong",SG
45442,PARLIAMENT-DPS-AS-AP Department of Parliamentary Services,AU
45443,WEBSLICE-AS-AP Webslice Pty Ltd,AU
51821,FORTLAX,SE
45441,"SHEEPLINK-TH SheepLink Co.,Ltd.",TH
44799,ALADDIN-AS,RU
44798,PERVOMAYSK-AS,UA
54540,INCERO - Incero LLC,US
5981,DNIC-ASBLK-05800-06055 - DoD Network Information Center,US
60372,EAGLENET,LB
48620,BEAMING,GB
44791,VCNETEU-AS,GB
44790,GREEN-MEDIA-CHANNEL-SA,RO
44793,ASN-AMUSER,IT
44792,AXA-POLSKA-AS,PL
44795,HNS-UK,GB
44794,FIRMA-USMA-AS,RU
44797,SUEK-OAO-AS,RU
44796,EUROWEB-AS,BG
46869,AWV-UU1 - AWV Communications Inc.,PR
